//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
73        0      2     224    231    227     227     0            0           15         400        *          *          0
74        0      2     69     181    72      178     0            0           15         400        *          *          0
75        0      7     225    53     228     50      0            0           60         400        *          *          0
76        0      7     62     163    68      157     0            0           60         400        *          *          0
77        0      8     96     143    100     146     0            0           130        400        *          *          0
80        0      17    12     5      14      10      0            0           0          400        *          *          0
82        0      18    31     88     36      95      0            0           0          400        *          *          0
83        0      19    31     88     36      95      0            0           0          400        *          *          0
84        0      20    31     88     36      95      0            0           0          400        *          *          0
85        0      21    31     88     36      95      0            0           0          400        *          *          0
86        0      22    31     88     36      95      0            0           0          400        *          *          0
87        0      23    31     88     36      95      0            0           0          400        *          *          0
88        0      24    10     16     17      22      0            0           0          400        *          *          0
89        0      25    10     16     17      22      0            0           0          400        *          *          0
90        0      26    10     16     17      22      0            0           0          400        *          *          0
91        0      27    10     16     17      22      0            0           0          400        *          *          0
92        0      28    10     16     17      22      0            0           0          400        *          *          0
93        0      29    10     16     17      22      0            0           0          400        *          *          0
94        0      30    88     31     102     46      0            0           0          400        *          *          0
95        0      31    60     10     69      19      0            0           0          400        *          *          0
96        1      30    93     242    95      243     97           0           0          400        *          *          0
97        2      30    164    198    187     209     0            0           0          400        *          *          0
98        1      30    160    203    161     205     99           0           0          400        *          *          0
99        2      30    90     236    99      239     0            0           0          400        *          *          0
100       0      30    39     14     142     50      0            0           0          400        *          *          0
101       0      30    84     180    100     222     0            0           0          400        *          *          0
102       1      0     239    14     240     15      103          0           10         400        *          *          0
103       2      30    29     42     30      37      0            0           10         400        *          *          0
104       0      30    87     209    100     232     0            0           0          400        *          *          0
105       0      30    72     10     104     199     0            0           0          400        *          *          0
106       0      30    131    94     138     92      0            0           0          400        *          *          0
107       1      30    28     40     28      41      108          0           0          400        *          *          0
108       2      0     235    13     239     13      0            0           0          400        *          *          0
109       1      31    59     7      63      8       110          0           0          400        *          *          0
110       2      30    131    94     138     92      0            0           0          400        *          *          0
111       0      32    133    91     141     99      0            0           10         400        *          *          0
112       0      32    135    162    142     170     0            0           10         400        *          *          0
113       2      33    76     9      78      16      0            0           10         400        *          *          0
114       2      34    231    37     234     45      0            0           10         400        *          *          0
//115       0      6     61     116    64      119     0            0           0          400        *          *          0
116       0      36    10     16     17      22      0            0           0          400        *          *          0
117       1      30    161    37     165     45      114          0           10         400        *          *          0
118       0      34    229    37     239     46      0            0           10         400        *          *          0
119       0      33    82     8      87      14      0            0           130        400        *          *          0
120       1      3     220    30     226     30      113          0           130        400        *          *          0
121       1      33    74     9      74      13      122          0           10         400        *          *          0
122       2      3     220    31     226     34      0            0           10         400        *          *          0
123       1      34    239    40     240     44      124          0           10         400        *          *          0
124       2      30    155    37     158     43      0            0           10         400        *          *          0
125       1      8     6      199    6       201     126          0           150        400        *          *          0
126       2      37    17     219    21      220     0            0           150        400        *          *          0
127       1      37    17     220    19      222     128          0           130        400        *          *          0
128       2      8     7      199    7       201     0            0           130        400        *          *          0
129       1      37    89     89     89      92      130          0           220        400        *          *          0
130       2      38    70     104    70      107     0            0           220        400        *          *          0
131       1      38    69     104    69      107     132          0           150        400        *          *          0
132       2      37    85     89     86      92      0            0           150        400        *          *          0
133       0      39    196    56     201     57      0            0           220        400        *          *          0
134       0      39    78     93     82      95      0            0           220        400        *          *          0
135       0      39    78     93     82      95      0            0           220        400        *          *          0
136       0      38    137    162    143     163     0            0           220        400        *          *          0
137       0      38    71     104    72      107     0            0           220        400        *          *          0
138       0      37    19     217    21      219     0            0           160        400        *          *          0
139       0      38    71     104    72      107     0            0           230        400        *          *          0
140       0      33    186    173    190     177     0            0           130        400        *          *          0
141       0      37    205    36     208     41      0            0           160        400        *          *          0
142       0      45    98     128    108     137     0            0           0          400        *          *          0
143       0      46    98     128    108     137     0            0           0          400        *          *          0
144       0      47    98     128    108     137     0            0           0          400        *          *          0
145       0      48    98     128    108     137     0            0           0          400        *          *          0
146       0      49    98     128    108     137     0            0           0          400        *          *          0
147       0      50    98     128    108     137     0            0           0          400        *          *          0
148       0      45    141    41     146     45      0            0           0          400        *          *          0
149       0      46    141    41     146     45      0            0           0          400        *          *          0
150       0      47    141    41     146     45      0            0           0          400        *          *          0
151       0      48    141    41     146     45      0            0           0          400        *          *          0
152       0      49    141    41     146     45      0            0           0          400        *          *          0
153       0      50    141    41     146     45      0            0           0          400        *          *          0
154       0      45    194    124    198     127     0            0           0          400        *          *          0
155       0      46    194    124    198     127     0            0           0          400        *          *          0
156       0      47    194    124    198     127     0            0           0          400        *          *          0
157       0      48    194    124    198     127     0            0           0          400        *          *          0
158       0      49    194    124    198     127     0            0           0          400        *          *          0
159       0      50    194    124    198     127     0            0           0          400        *          *          0
160       1      45    136    100    137     101     161          0           0          400        *          *          0
161       2      45    170    101    170     103     0            0           0          400        *          *          0
162       1      45    150    117    152     119     163          0           0          400        *          *          0
163       2      45    149    84     152     84      0            0           0          400        *          *          0
164       1      45    149    88     151     89      165          0           0          400        *          *          0
165       2      45    149    122    151     122     0            0           0          400        *          *          0
166       1      45    165    101    166     104     167          0           0          400        *          *          0
167       2      45    132    99     132     103     0            0           0          400        *          *          0
168       1      45    173    65     174     68      169          0           0          400        *          *          0
169       2      45    207    65     207     68      0            0           0          400        *          *          0
170       1      45    186    79     189     81      171          0           0          400        *          *          0
171       2      45    186    47     189     47      0            0           0          400        *          *          0
172       1      45    186    51     188     52      173          0           0          400        *          *          0
173       2      45    186    84     189     84      0            0           0          400        *          *          0
174       1      45    202    66     203     68      175          0           0          400        *          *          0
175       2      45    169    65     169     68      0            0           0          400        *          *          0
176       1      46    136    100    137     101     177          0           0          400        *          *          0
177       2      46    170    101    170     103     0            0           0          400        *          *          0
178       1      46    150    117    152     119     179          0           0          400        *          *          0
179       2      46    149    84     152     84      0            0           0          400        *          *          0
180       1      46    149    88     151     89      181          0           0          400        *          *          0
181       2      46    149    122    151     122     0            0           0          400        *          *          0
182       1      46    165    101    166     104     183          0           0          400        *          *          0
183       2      46    132    99     132     103     0            0           0          400        *          *          0
184       1      46    173    65     174     68      185          0           0          400        *          *          0
185       2      46    207    65     207     68      0            0           0          400        *          *          0
186       1      46    186    79     189     81      187          0           0          400        *          *          0
187       2      46    186    47     189     47      0            0           0          400        *          *          0
188       1      46    186    51     188     52      189          0           0          400        *          *          0
189       2      46    186    84     189     84      0            0           0          400        *          *          0
190       1      46    202    66     203     68      191          0           0          400        *          *          0
191       2      46    169    65     169     68      0            0           0          400        *          *          0
192       1      47    136    100    137     101     193          0           0          400        *          *          0
193       2      47    170    101    170     103     0            0           0          400        *          *          0
194       1      47    150    117    152     119     195          0           0          400        *          *          0
195       2      47    149    84     152     84      0            0           0          400        *          *          0
196       1      47    149    88     151     89      197          0           0          400        *          *          0
197       2      47    149    122    151     122     0            0           0          400        *          *          0
198       1      47    165    101    166     104     199          0           0          400        *          *          0
199       2      47    132    99     132     103     0            0           0          400        *          *          0
200       1      47    173    65     174     68      201          0           0          400        *          *          0
201       2      47    207    65     207     68      0            0           0          400        *          *          0
202       1      47    186    79     189     81      203          0           0          400        *          *          0
203       2      47    186    47     189     47      0            0           0          400        *          *          0
204       1      47    186    51     188     52      205          0           0          400        *          *          0
205       2      47    186    84     189     84      0            0           0          400        *          *          0
206       1      47    202    66     203     68      207          0           0          400        *          *          0
207       2      47    169    65     169     68      0            0           0          400        *          *          0
208       1      48    136    100    137     101     209          0           0          400        *          *          0
209       2      48    170    101    170     103     0            0           0          400        *          *          0
210       1      48    150    117    152     119     211          0           0          400        *          *          0
211       2      48    149    84     152     84      0            0           0          400        *          *          0
212       1      48    149    88     151     89      213          0           0          400        *          *          0
213       2      48    149    122    151     122     0            0           0          400        *          *          0
214       1      48    165    101    166     104     215          0           0          400        *          *          0
215       2      48    132    99     132     103     0            0           0          400        *          *          0
216       1      48    173    65     174     68      217          0           0          400        *          *          0
217       2      48    207    65     207     68      0            0           0          400        *          *          0
218       1      48    186    79     189     81      219          0           0          400        *          *          0
219       2      48    186    47     189     47      0            0           0          400        *          *          0
220       1      48    186    51     188     52      221          0           0          400        *          *          0
221       2      48    186    84     189     84      0            0           0          400        *          *          0
222       1      48    202    66     203     68      223          0           0          400        *          *          0
223       2      48    169    65     169     68      0            0           0          400        *          *          0
224       1      49    136    100    137     101     225          0           0          400        *          *          0
225       2      49    170    101    170     103     0            0           0          400        *          *          0
226       1      49    150    117    152     119     227          0           0          400        *          *          0
227       2      49    149    84     152     84      0            0           0          400        *          *          0
228       1      49    149    88     151     89      229          0           0          400        *          *          0
229       2      49    149    122    151     122     0            0           0          400        *          *          0
230       1      49    165    101    166     104     231          0           0          400        *          *          0
231       2      49    132    99     132     103     0            0           0          400        *          *          0
232       1      49    173    65     174     68      233          0           0          400        *          *          0
233       2      49    207    65     207     68      0            0           0          400        *          *          0
234       1      49    186    79     189     81      235          0           0          400        *          *          0
235       2      49    186    47     189     47      0            0           0          400        *          *          0
236       1      49    186    51     188     52      237          0           0          400        *          *          0
237       2      49    186    84     189     84      0            0           0          400        *          *          0
238       1      49    202    66     203     68      239          0           0          400        *          *          0
239       2      49    169    65     169     68      0            0           0          400        *          *          0
240       1      50    136    100    137     101     241          0           0          400        *          *          0
241       2      50    170    101    170     103     0            0           0          400        *          *          0
242       1      50    150    117    152     119     243          0           0          400        *          *          0
243       2      50    149    84     152     84      0            0           0          400        *          *          0
244       1      50    149    88     151     89      245          0           0          400        *          *          0
245       2      50    149    122    151     122     0            0           0          400        *          *          0
246       1      50    165    101    166     104     247          0           0          400        *          *          0
247       2      50    132    99     132     103     0            0           0          400        *          *          0
248       1      50    173    65     174     68      249          0           0          400        *          *          0
249       2      50    207    65     207     68      0            0           0          400        *          *          0
250       1      50    186    79     189     81      251          0           0          400        *          *          0
251       2      50    186    47     189     47      0            0           0          400        *          *          0
252       1      50    186    51     188     52      253          0           0          400        *          *          0
253       2      50    186    84     189     84      0            0           0          400        *          *          0
254       1      50    202    66     203     68      255          0           0          400        *          *          0
255       2      50    169    65     169     68      0            0           0          400        *          *          0
256       0      41    29     79     31      82      0            0           0          400        *          *          0
257       0      42    104    178    107     181     0            0           0          400        *          *          0
258       0      34    227    41     229     43      0            0           0          400        *          *          0
259       1      2     161    245    166     246     260          0           15         400        *          *          0
260       2      51    26     29     27      30      0            0           15         400        *          *          0
261       1      51    24     29     25      30      262          0           15         400        *          *          0
262       2      2     161    241    163     242     0            0           15         400        *          *          0
263       1      7     13     19     14      20      264          0           10         400        *          *          0
264       2      51    243    149    244     150     0            0           10         400        *          *          0
265       1      51    247    149    248     150     266          0           60         400        *          *          0
266       2      7     16     19     17      20      0            0           60         400        *          *          0
267       0      51    51     224    54      227     0            0           0          400        *          *          0
268       0      51    99     55     100     57      0            0           10         400        *          *          0
269       0      51    191    148    193     150     0            0           10         400        *          *          0
270       0      32    62     150    70      158     0            0           10         400        *          *          0
271       0      52    12     5      14      10      0            0           0          400        *          *          0
272       0      53    31     88     36      95      0            0           0          400        *          *          0
273       0      56    135    105    142     111     0            0           400        400        *          *          0
274       1      56    139    125    139     126     275          0           400        400        *          *          0
275       2      56    189    190    191     193     0            0           400        400        *          *          0
276       1      56    185    187    186     188     273          0           400        400        *          *          0
277       1      56    149    109    150     109     278          0           400        400        *          *          0
278       2      56    204    10     206     14      0            0           400        400        *          *          0
279       1      56    197    12     197     14      273          0           400        400        *          *          0
280       1      56    139    95     140     95      281          0           400        400        *          *          0
281       2      56    65     47     67      48      0            0           400        400        *          *          0
282       1      56    68     52     69      53      273          0           400        400        *          *          0
283       1      56    124    109    124     110     284          0           400        400        *          *          0
284       2      56    62     174    63      179     0            0           400        400        *          *          0
285       1      56    57     176    57      177     273          0           400        400        *          *          0
286       1      2     52     92     54      92      287          0           270        400        *          *          0
287       0      57    222    211    225     212     0            0           270        400        *          *          0
288       1      57    223    215    225     215     289          0           270        400        *          *          0
289       0      2     52     88     54      89      0            0           270        400        *          *          0
290       1      57    171    23     171     25      291          0           270        400        *          *          0
291       0      58    160    24     161     27      0            0           270        400        *          *          0
292       1      58    167    24     167     25      293          0           270        400        *          *          0
293       0      57    174    23     175     25      0            0           270        400        *          *          0
294       0      63    120    129    126     134     0            0           20         400        *          *          0
295       0      64    101    64     0       0       0            0           30         400        *          *          0
296       0      64    101    75     0       0       0            0           30         400        *          *          0
297       0      64    101    113    0       0       0            0           30         400        *          *          0
298       0      64    101    124    0       0       0            0           30         400        *          *          0
299       0      64    154    64     0       0       0            0           30         400        *          *          0
300       0      64    154    75     0       0       0            0           30         400        *          *          0
301       0      64    154    113    0       0       0            0           30         400        *          *          0
302       0      64    154    124    0       0       0            0           30         400        *          *          0
303       0      64    100    70     0       0       0            0           30         400        *          *          0
304       0      64    100    120    0       0       0            0           30         400        *          *          0
305       0      64    150    70     0       0       0            0           30         400        *          *          0
306       0      64    150    120    0       0       0            0           30         400        *          *          0
307       0      69    231    15     233     17      0            0           0          400        *          *          0
308       1      69    209    80     211     82      309          0           0          400        *          *          0
309       0      69    202    24     203     27      0            0           0          400        *          *          0
310       1      69    153    60     155     62      311          0           0          400        *          *          0
311       0      69    179    65     181     67      0            0           0          400        *          *          0
312       0      70    86     63     87      66      0            0           0          400        *          *          0
313       1      70    10     64     12      66      314          0           0          400        *          *          0
314       0      70    35     84     38      85      0            0           0          400        *          *          0
315       1      70    54     161    56      163     316          0           0          400        *          *          0
316       0      70    121    110    123     112     0            0           0          400        *          *          0
317       0      71    154    187    155     189     0            0           0          400        *          *          0
318       1      71    82     194    84      196     319          0           0          400        *          *          0
319       0      71    222    121    224     123     0            0           0          400        *          *          0
320       1      71    222    201    224     203     321          0           0          400        *          *          0
321       0      71    165    206    168     207     0            0           0          400        *          *          0
322       0      72    93     66     94      69      0            0           0          400        *          *          0
323       1      72    30     95     32      97      324          0           0          400        *          *          0
324       0      72    32     162    34      164     0            0           0          400        *          *          0
325       1      72    68     160    70      162     326          0           0          400        *          *          0
326       0      72    145    155    147     157     0            0           0          400        *          *          0
327       1      72    223    165    225     167     328          0           0          400        *          *          0
328       0      72    241    23     243     25      0            0           0          400        *          *          0
329       0      65    193    26     200     32      0            0           0          400        *          *          0
330       0      66    133    68     139     74      0            0           0          400        *          *          0
331       0      67    106    58     111     62      0            0           0          400        *          *          0
332       0      68    90     10     97      17      0            0           0          400        *          *          0
333       0      79    126    142    129     148     0            0           0          400        *          *          0
334       0      37    66     183    74      191     0            0           160        400        *          *          0
335       0      80    124    123    127     125     0            0           170        400        *          *          0
336       1      33    237    167    240     168     337          0           160        400        *          *          0
337       2      80    118    44     119     46      0            3           160        400        *          *          0
338       1      80    116    44     117     47      339          0           160        400        *          *          0
339       2      33    237    166    240     166     0            1           160        400        *          *          0
340       1      80    186    210    190     212     341          0           160        400        *          *          0
341       2      81    162    12     164     14      0            5           160        400        *          *          0
342       1      81    161    8      165     9       343          0           160        400        *          *          0
343       2      80    188    207    189     208     0            1           160        400        *          *          0
344       0      81    162    16     163     17      0            5           160        400        *          *          0

//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
345       0      82    225    050    225     50      0            0           10         400        *          *          0
346       0      83    148    17     148     17      0            0           10         400        *          *          0
347       1      84    99     132    101     134     348          0           120        400        *          *          0
348       2      84    17     15     19      18      347          0           0          400        *          *          0
349       1      84    99     151    101     153     350          0           100        400        *          *          0
350       2      84    16     234    16      237     349          0           0          400        *          *          0
351       1      84    118    151    120     153     352          0           80         400        *          *          0
352       2      84    235    235    237     237     351          0           0          400        *          *          0
353       1      84    118    132    120     134     354          0           140        400        *          *          0
354       2      84    237    15     237     17      353          0           0          400        *          *          0
355       0      84    110    143    110     143     0            0           80         400        *          *          0
356       0      85    59     61     59      61      0            0           10         400        *          *          0
357       0      86    53     184    50      188     0            0           100        400        *          *          0
358       0      86    51     190    60      197     0            0           0          400        *          *          0
359       1      86    26     168    28      172     360          0           0          400        *          *          0
360       2      86    112    161    114     166     0            0           0          400        *          *          0
361       1      86    115    168    118     170     362          0           0          400        *          *          0
362       2      86    33     167    37      170     0            0           0          400        *          *          0
363       1      86    82     204    86      205     364          0           0          400        *          *          0
364       2      86    151    198    156     200     0            0           0          400        *          *          0
365       1      86    147    202    148     206     366          0           0          400        *          *          0
366       2      86    81     197    83      199     0            0           0          400        *          *          0
367       0      86    51     190    60      197     0            0           0          400        *          *          0
368       1      86    26     168    28      172     369          0           0          400        *          *          0
369       2      86    112    161    114     166     0            0           0          400        *          *          0
370       1      86    115    168    118     170     371          0           0          400        *          *          0
371       2      86    33     167    37      170     0            0           0          400        *          *          0
372       1      86    82     204    86      205     373          0           0          400        *          *          0
373       2      86    151    198    156     200     0            0           0          400        *          *          0
374       1      86    147    202    148     206     375          0           0          400        *          *          0
375       2      86    81     197    83      199     0            0           0          400        *          *          0
376       1      86    52     161    53      163     436          0           0          400        *          *          0
377       2      86    54     163    55      164     0            5           0          400        *          *          0
378       1      86    52     161    53      163     440          0           0          400        *          *          0
379       2      86    54     163    55      164     0            5           0          400        *          *          0
380       2      86    62     213    64      214     0            3           0          400        *          *          0
381       1      86    90     181    91      184     488          3           0          400        *          *          0
382       2      86    94     184    95      187     0            3           0          400        *          *          0
383       2      87    40     49     46      49      0            3           0          400        *          *          0


450       0      40    220    15     235     30      0            0           0          400        *          *          0
451       0      40    220    15     235     30      0            0           0          400        *          *          0
452       0      40    220    15     235     30      0            0           0          400        *          *          0
453       0      40    220    15     235     30      0            0           0          400        *          *          0
454       0      40    220    15     235     30      0            0           0          400        *          *          0
455       0      40    220    15     235     30      0            0           0          400        *          *          0
456       0      40    220    15     235     30      0            0           0          400        *          *          0
457       0      40    220    15     235     30      0            0           0          400        *          *          0
end
