//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF
44        "Crescent Moon Slash"                90       22      15      4       0       0       *      0        0          0           0               0              0                0       1       0       0       0       0       0
45        "Mana Glaive"                        90       150     10      6       0       0       *      0        0          0           0               0              0                1       0       0       0       0       1       0
46        "Starfall"                           120      20      15      8       0       0       *      0        0          0           0               0              0                0       0       1       0       0       0       0
47        "Impale"                             15       8       0       0       6       0       *      0        0          0           0               0              0                0       1       0       1       0       0       0
48        "Greater Life"                       0        22      24      0       5       0       *      8        0          0           0               0              0                0       1       0       0       0       0       0
49        "Fire Breath"                        30       9       0       3       0       0       *      0        0          0           0               0              0                0       1       0       0       0       0       0
50        "Monster Area Attack"                0        0       0       0       6       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
51        "Ice Arrow"                          105      10      12      8       0       0       0      57       0          0           0               0              0                0       0       2       0       0       0       0
52        "Penetration"                        70       7       9       6       6       0       5      0        0          0           0               0              0                0       0       1       0       0       0       0
55        "Fire Slash"                         80       15      20      2       6       0       1      58       0          0           0               0              0                0       0       0       1       0       0       0
56        "Power Slash"                        0        15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0
57        "Spiral Slash"                       75       20      15      5       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0
60        "Force"                              10       10      0       4       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
61        "Fire Burst"                         100      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
62        "Earthquake"                         150      0       50      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       1       0       0
63        "Summon Party"                       0        70      30      0       0       30000   *      0        0          0           0               0              0                0       0       0       0       1       0       0
64        "Greater Critical Damage"            0        50      50      6       6       0       *      5        0          0           0               0              0                0       0       0       0       1       0       0
65        "Electric Spark"                     250      0       100     0       6       5000    *      0        0          0           0               0              0                0       0       0       0       1       0       0
66        "Force Wave"                         50       10      0       4       3       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
67        "Stern"                              0        70      50      0       5       0       *      61       0          0           0               4              32               1       1       1       1       1       1       1
68        "Remove Stern"                       0        25      30      0       5       0       *      0        0          0           0               2              32               1       1       1       1       1       1       1
69        "Greater Mana"                       0        35      30      0       5       0       *      9        0          0           0               4              32               1       1       1       1       1       1       1
70        "Invisibility"                       0        80      60      6       0       0       *      18       0          0           0               5              192              1       1       1       1       1       1       1
71        "Remove Invisibility"                0        40      30      0       5       0       *      0        0          0           0               2              192              1       1       1       1       1       1       1
72        "Remove All Effect"                  0        90      70      0       5       0       *      0        0          0           0               8              128              0       0       0       0       1       0       0
73        "Mana Rays"                          85       130     7       6       0       0       *      0        0          0           0               0              0                0       0       0       1       0       0       0
74        "Fire Blast"                         150      30      10      6       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
75        "Brand"                              0        100     35      0       5       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
76        "Plasma Storm"                       60       50      20      0       5       1500    *      0        0          0           0               0              0                2       2       2       1       1       2       1
77        "Infinity Arrow"                     0        50      10      0       0       200     *      6        0          0           0               0              0                0       0       1       0       0       0       0
78        "Fire Scream"                        130      45      10      4       6       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
79        "Explosion"                          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
200       "Monster Summon"                     0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
201       "Magic Damage Immunity"              0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
202       "Physi Damage Immunity"              0        40      0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0
210       "Order of Protection"                0        30      0       0       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1       1
211       "Order of Restraint"                 0        30      0       3       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1       1
212       "Order of Tracking"                  0        30      0       0       0       0       0      0        0          0           0               10             0                1       1       1       1       1       1       1
213       "Order of Weaken"                    0        30      0       3       0       0       0      0        0          0           0               5              0                1       1       1       1       1       1       1
214       "Drain Life"                         35       50      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       1       0
215       "Chain Lightning"                    70       85      0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       1       0
216       "Electric Surge"                     90       100     0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       1       0
217       "Damage Reflect"                     0        40      10      6       0       5000    *      71       0          0           0               0              0                0       0       0       0       0       1       0
218       "Sword Power"                        0        100     50      0       0       5000    *      81       0          0           0               0              0                0       0       0       0       0       1       0
219       "Sleep"                              0        20      3       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       1       0
221       "Lesser Damage"                      0        50      15      0       5       4000    *      76       0          0           0               0              0                0       0       0       0       0       1       0
222       "Lesser Defense"                     0        70      15      0       5       4000    *      77       0          0           0               0              0                0       0       0       0       0       1       0
223       "Sahamutt"                           40       90      5       6       3       4000    3      75       0          0           0               0              0                0       0       0       0       0       1       0
224       "Neil"                               65       110     10      6       4       4000    5      74       0          0           0               0              0                0       0       0       0       0       1       0
225       "Ghost Phantom"                      80       120     15      6       5       4000    2      56       0          0           0               0              0                0       0       0       0       0       1       0
230       "Red Storm"                          95       115     7       0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       1       0
232       "Frozen Stab"                        110      30      24      6       3       0       0      86       0          0           0               0              0                0       2       0       0       0       0       0
233       "Magic Circle"                       0        200     50      0       0       0       *      82       0          0           0               0              0                2       0       0       0       0       0       0
234       "Shield Recover"                     0        40      10      6       0       0       *      0        0          0           0               0              0                0       0       2       0       0       0       0
235       "Five Shot"                          40       10      7       0       6       0       *      0        0          0           0               0              0                0       0       2       0       0       0       0
236       "Sword Slash"                        140      20      25      0       5       0       3      83       0          0           0               0              0                0       0       0       1       0       0       0
237       "Lightning Storm"                    110      120     10      0       6       0       5      84       0          0           0               0              0                0       0       0       1       0       0       0
238       "Birds"                              190      50      15      0       6       0       *      0        0          0           0               0              0                0       0       0       0       1       0       0
239	  "Self Explosion"	               140	20	25	0	3	0	3      0        0          0           0               0              0                0       0       0       0       0       0       0 
260       "Large Ring Blower"                  0        9       0       2       0       0       4      76       0          0           0               0              0                0       0       0       0       0       0       1
261       "Upper Beast"                        0        9       0       2       0       0       3      58       0          0           0               0              0                0       0       0       0       0       0       1
262       "Chain Driver"                       0        15      20      4       0       700     0      86       0          0           0               0              0                0       0       0       0       0       0       1
263       "Dark Side"                          0        70      0       4       3       0       5      0        0          0           0               0              0                0       0       0       0       0       0       1
264       "Dragon Lore"                        0        50      30      3       5       700     4      0        0          0           0               0              0                0       0       0       0       0       0       1
265       "Dragon Slayer"                      0        100     100     4       0       3000    5      0        0          0           0               0              0                0       0       0       0       0       0       1
266       "Greater Ignore Damage Rate"         0        50      10      0       0       0       *      129      0          0           0               0              0                0       0       0       0       0       0       1
267       "Fitness"                            0        50      10      0       5       0       *      130      0          0           0               0              0                0       0       0       0       0       0       1
268       "Greater Defense Success Rate"       0        50      10      0       5       0       *      131      0          0           0               0              0                0       0       0       0       0       0       1
269       "Charge"                             90       20      15      4       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       1
270       "Phoenix Shot"                       0        30      0       4       3       1200    *      0        0          0           0               0              0                0       0       0       0       0       0       1
300       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
301       "Add Defense Success Rate PvP"       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
302       "Add Max SD"                         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
303       "Add MP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
304       "Add Poison Resistance"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
305       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
306       "Add SD Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
307       "Add HP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
308       "Add Lightning Resistance"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
309       "Add Defense"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
310       "Add BP Recovery Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
311       "Add Ice Resistance"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
312       "Add Item Durability Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
313       "Add Defense Success Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
315	  "Add Armor Set Bonus"	               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
316	  "Add Reflect Damage"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
317	  "Add Energy"		               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
318	  "Add Vitality"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
319	  "Add Agility"		               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
320	  "Add Strength"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
322	  "Add DK Wing Defense"	               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
324	  "Add DK Wing Damage"	               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
325       "Add Attack Success Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
326       "Add Cyclone Improved"               0        9       0       2       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
327       "Add Slash Improved"                 0        10      0       2       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
328       "Add Falling Slash Improved"         0        9       0       3       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
329       "Add Lunge Improved"                 0        9       0       2       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
330       "Add Twisting Slash Improved"        0        10      10      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0       0
331       "Add Rageful Blow Improved"          60       25      22      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0
332       "Add Twisting Slash Enhanced"        0        22      20      0       3       0       5      0        0          0           0               0              0                0       3       0       0       0       0       0
333       "Add Rageful Blow Enhanced"          60       50      30      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0       0
334       "Add Max HP"                         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
335       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
336       "Add Death Stab Improved"            70       15      13      2       2       0       5      0        0          0           0               0              0                0       3       0       0       0       0       0
337       "Add Frozen Stab Improved"           110      30      24      6       3       0       0      86       0          0           0               0              0                0       3       0       0       0       0       0
338       "Add Max MP"                         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
339	  "Add Death Stab Enhanced"	       70	30	26	2	2	0	5      0	0	   0	       0	       0	      0	               0       3       0       0       0       0       0
340	  "Add Frozen Stab Enhanced"           110	30	24	6	3	0	0      86	0	   0	       0	       0	      0	               0       3       0       0       0       0       0
341	  "Add Max BP"		               0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
342	  "Add Death Stab Mastered"            70	30	26	2	2	0	5      0	0	   0	       0	       0	      0	               0       3       0       0       0       0       0
343	  "Add Frozen Stab Mastered"           110      30	24	6	3	0	0      86	0	   0	       0	       0	      0	               0       3       0       0       0       0       0
344	  "Add Blood Storm"		       25	87	29	3	4       10000	*      0	0	   0	       0	       0	      0	               0       3       0       3       0       0       0
345	  "Add Combo Damage"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
346	  "Add Blood Storm Improved"	       25	95	31	3	4       10000	*      0	0	   0	       0	       0	      0	               0       3       0       3       0       0       0
347       "Add Attack Success Rate PvP"        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
348       "Add Two Hand Sword Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
349       "Add One Hand Sword Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
350       "Add Mace Damage"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
351       "Add Spear Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
352       "Add Two Hand Sword Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
353       "Add One Hand Sword Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       0       0       0
354       "Add Mace Mastery"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
355       "Add Spear Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0
356       "Add Greater Life Improved"          0        24      26      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0       0
357       "Add MP Consumption Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
358       "Add Hunt SD"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
359       "Add Hunt HP"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
360       "Add Greater Life Enhanced"          0        26      28      0       5       0       *      135      0          0           0               0              0                0       3       0       0       0       0       0
361       "Add Min Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       3       0       0
362       "Add Hunt MP"                        0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
363	  "Add Greater Life Mastered"          0	28	30	0	5	0	*      136      0          0           0               0              0                0       3       0       0       0       0       0
364	  "Add Max Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       3       3       0       0
366	  "Add Critical Damage Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
367	  "Add Restore MP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
368	  "Add Restore HP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
369	  "Add Excellent Damage Rate"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
370	  "Add Double Damage Rate"             0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
371	  "Add Ignore Defense Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
372	  "Add Restore SD Rate"                0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       0
375	  "Add DW Wing Defense"	               0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
377	  "Add DW Wing Damage"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
378       "Add Flame Improved"                 25       55      0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0       0
379       "Add Lightning Improved"             17       20      0       6       0       0       2      0        0          0           0               0              0                3       0       0       0       0       0       0
380       "Add Magic Circle Improved"          0        220     55      0       0       0       *      138      0          0           0               0              0                3       0       0       0       0       0       0
381       "Add Inferno Improved"               100      220     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0       0
382       "Add Blast Improved"                 70       165     0       0       6       0       2      0        0          0           0               0              0                3       0       0       0       0       0       0
383       "Add Magic Circle Enhanced"          0        220     55      0       0       0       *      139      0          0           0               0              0                3       0       0       0       0       0       0
384       "Add Poison Improved"                12       46      0       6       0       0       1      55       0          0           0               0              0                3       0       0       0       0       0       0
385       "Add Evil Spirit Improved"           45       108     0       0       6       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
386       "Add Magic Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
387       "Add Decay Improved"                 95       120     10      6       4       0       1      55       0          0           0               0              0                3       0       0       0       0       0       0
388       "Add Hell Fire Improved"             120      176     0       0       6       0       3      0        0          0           0               0              0                3       0       0       0       0       0       0
389       "Add Ice Improved"                   10       42      0       6       0       0       0      56       0          0           0               0              0                3       0       0       0       0       0       0
390	  "Add Meteorite Improved"	       21	13	0	6	0	0	4      0	0	   0	       0	       0	      0	               3       0       0       0       0       0       0
391	  "Add Ice Storm Improved"	       80	110	5	6	4	0	0      56	0	   0	       0	       0	      0	               3       0       0       0       0       0       0
392	  "Add Nova Improved"		       22	198	49	0	6	0	3      0	0	   0	       0	       0	      0	               3       0       0       0       0       0       0
393	  "Add Ice Storm Enhanced"	       80	110	5	6	4	0	0      56	0	   0	       0	       0	      0	               3       0       0       0       0       0       0
394	  "Add Meteorite Enhanced"	       21	14	0	6	0	0	4      0	0	   0	       0	       0	      0	               3       0       0       0       0       0       0
397       "Add One Hand Staff Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
398       "Add Two Hand Staff Damage"          0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
399       "Add Shield Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
400       "Add One Hand Staff Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
401       "Add Two Hand Staff Mastery"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
402       "Add Shield Mastery"                 0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0
403       "Add Mana Shield Improved"           0        77      27      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0       0
404       "Add Mana Shield Enhanced"           0        84      27      6       0       0       *      4        0          0           0               0              0                3       0       0       0       0       0       0
405       "Add Min Magic Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       3       0       0       0
406	  "Add Mana Shield Mastered"           0	92	28	6	0	0	*      140	0	   0	       0	       0	      0	               3       0       0       0       0       0       0
407	  "Add Max Magic Damage"               0	0	0	0	0	0	*      0	0	   0	       0	       0	      0	               3       0       0       3       0       0       0
410	  "Add FE Wing Defense"                0	0	0	0	0	0	*      0	0 	   0	       0	       0	      0	               0       0       3       0       0       0       0
411	  "Add Five Shot Improved"             40	11	7	0	6	0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
412	  "Add FE Wing Damage"	               0	0	0	0	0	0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
413       "Add Heal Improved"                  0        22      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
414       "Add Triple Shot Improved"           0        5       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
415       "Add Summon Life"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
416       "Add Penetration Improved"           70       10      11      0       6       0       5      0        0          0           0               0              0                0       0       3       0       0       0       0
417       "Add Greater Defense Improved"       0        33      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0       0
418       "Add Triple Shot Enhanced"           0        9       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
419       "Add Summon Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
420       "Add Greater Damage Improved"        0        44      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0       0
421       "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
422       "Add Greater Damage Enhanced"        0        48      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0       0
423       "Add Greater Defense Enhanced"       0        36      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0       0
424       "Add Ice Arrow Improved"             105      15      18      8       0       0       0      57       0          0           0               0              0                0       0       3       0       0       0       0
425	  "Add Cure"                           0	72	10	6	0       3000	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
426	  "Add Party Healing"                  0	66	12	6	6       10000	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
427	  "Add Poison Arrow"                   27	22	27	6	0       10000	1      159	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
428	  "Add Summon Damage"                  0	0	0	0	0       0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
429	  "Add Party Healing Improved"         22	72	13	6	6       10000	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
430	  "Add Bless"                          0	108	18	6	0       3000	*      142	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
431	  "Add Five Shot Enhanced"             40	12	8	0	6       0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
432	  "Add Summon Satyros"                 0	525	52	0	0       0	*      0	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
433	  "Add Bless Improved"                 0	118	20	6	0       3000	*      142	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
434	  "Add Poison Arrow Improved"          27	24	29	6	0       10000	1      160	0	   0	       0	       0	      0	               0       0       3       0       0       0       0
435       "Add Bow Damage"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
436       "Add Cross Bow Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
437       "Add Shield Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
438       "Add Bow Mastery"                    0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
439       "Add Cross Bow Mastery"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
440       "Add Shield Mastery"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
441       "Add Infinity Arrow Improved"        0        55      11      0       0       200     *      143      0          0           0               0              0                0       0       3       0       0       0       0
442       "Add Min Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0
443	  "Add Max Physi Damage"               0	0	0	0	0       0	*      0        0          0           0               0              0                0       0       3       0       0       0       0
446	  "Add SU Wing Defense"                0	0	0	0	0       0	*      0        0          0           0               0              0                0       0       0       0       0       3       0
447	  "Add SU Wing Damage"                 0	0	0	0	0       0	*      0        0          0           0               0              0                0       0       0       0       0       3       0
448       "Add Sahamutt Improved"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
449       "Add Neil Improved"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
450       "Add Ghost Phantom Improved"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
451       "Add Sahamutt Enhanced"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
452       "Add Neil Enhanced"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
453       "Add Ghost Phantom Enhanced"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0
454       "Add Sleep Improved"                 0        30      7       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3       0
